geo_id,do_date,total_pop,households,male_pop,female_pop,median_age,male_under_5,male_5_to_9,male_10_to_14,male_15_to_17,male_18_to_19,male_20,male_21,male_22_to_24,male_25_to_29,male_30_to_34,male_35_to_39,male_40_to_44,male_45_to_49,male_50_to_54,male_55_to_59,male_60_to_61,male_62_to_64,male_65_to_66,male_67_to_69,male_70_to_74,male_75_to_79,male_80_to_84,male_85_and_over,female_under_5,female_5_to_9,female_10_to_14,female_15_to_17,female_18_to_19,female_20,female_21,female_22_to_24,female_25_to_29,female_30_to_34,female_35_to_39,female_40_to_44,female_45_to_49,female_50_to_54,female_55_to_59,female_60_to_61,female_62_to_64,female_65_to_66,female_67_to_69,female_70_to_74,female_75_to_79,female_80_to_84,female_85_and_over,white_pop,population_1_year_and_over,population_3_years_over,pop_5_years_over,pop_15_and_over,pop_16_over,pop_25_years_over,pop_25_64,pop_never_married,pop_now_married,pop_separated,pop_widowed,pop_divorced,not_us_citizen_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,other_race_pop,two_or_more_races_pop,hispanic_any_race,not_hispanic_pop,asian_male_45_54,asian_male_55_64,black_male_45_54,black_male_55_64,hispanic_male_45_54,hispanic_male_55_64,white_male_45_54,white_male_55_64,median_income,income_per_capita,income_less_10000,income_10000_14999,income_15000_19999,income_20000_24999,income_25000_29999,income_30000_34999,income_35000_39999,income_40000_44999,income_45000_49999,income_50000_59999,income_60000_74999,income_75000_99999,income_100000_124999,income_125000_149999,income_150000_199999,income_200000_or_more,pop_determined_poverty_status,poverty,gini_index,housing_units,renter_occupied_housing_units_paying_cash_median_gross_rent,owner_occupied_housing_units_lower_value_quartile,owner_occupied_housing_units_median_value,owner_occupied_housing_units_upper_value_quartile,occupied_housing_units,housing_units_renter_occupied,vacant_housing_units,vacant_housing_units_for_rent,vacant_housing_units_for_sale,dwellings_1_units_detached,dwellings_1_units_attached,dwellings_2_units,dwellings_3_to_4_units,dwellings_5_to_9_units,dwellings_10_to_19_units,dwellings_20_to_49_units,dwellings_50_or_more_units,mobile_homes,housing_built_2005_or_later,housing_built_2000_to_2004,housing_built_1939_or_earlier,median_year_structure_built,married_households,nonfamily_households,family_households,households_public_asst_or_food_stamps,male_male_households,female_female_households,children,children_in_single_female_hh,median_rent,percent_income_spent_on_rent,rent_burden_not_computed,rent_over_50_percent,rent_40_to_50_percent,rent_35_to_40_percent,rent_30_to_35_percent,rent_25_to_30_percent,rent_20_to_25_percent,rent_15_to_20_percent,rent_10_to_15_percent,rent_under_10_percent,owner_occupied_housing_units,million_dollar_housing_units,mortgaged_housing_units,different_house_year_ago_different_city,different_house_year_ago_same_city,families_with_young_children,two_parent_families_with_young_children,two_parents_in_labor_force_families_with_young_children,two_parents_father_in_labor_force_families_with_young_children,two_parents_mother_in_labor_force_families_with_young_children,two_parents_not_in_labor_force_families_with_young_children,one_parent_families_with_young_children,father_one_parent_families_with_young_children,father_in_labor_force_one_parent_families_with_young_children,commute_less_10_mins,commute_10_14_mins,commute_15_19_mins,commute_20_24_mins,commute_25_29_mins,commute_30_34_mins,commute_35_44_mins,commute_60_more_mins,commute_45_59_mins,commuters_16_over,walked_to_work,worked_at_home,no_car,no_cars,one_car,two_cars,three_cars,four_more_cars,aggregate_travel_time_to_work,commuters_by_public_transportation,commuters_by_bus,commuters_by_car_truck_van,commuters_by_carpool,commuters_by_subway_or_elevated,commuters_drove_alone,group_quarters,associates_degree,bachelors_degree,high_school_diploma,less_one_year_college,masters_degree,one_year_more_college,less_than_high_school_graduate,high_school_including_ged,bachelors_degree_2,bachelors_degree_or_higher_25_64,graduate_professional_degree,some_college_and_associates_degree,male_45_64_associates_degree,male_45_64_bachelors_degree,male_45_64_graduate_degree,male_45_64_less_than_9_grade,male_45_64_grade_9_12,male_45_64_high_school,male_45_64_some_college,male_45_to_64,employed_pop,unemployed_pop,pop_in_labor_force,not_in_labor_force,workers_16_and_over,armed_forces,civilian_labor_force,employed_agriculture_forestry_fishing_hunting_mining,employed_arts_entertainment_recreation_accommodation_food,employed_construction,employed_education_health_social,employed_finance_insurance_real_estate,employed_information,employed_manufacturing,employed_other_services_not_public_admin,employed_public_administration,employed_retail_trade,employed_science_management_admin_waste,employed_transportation_warehousing_utilities,employed_wholesale_trade,occupation_management_arts,occupation_natural_resources_construction_maintenance,occupation_production_transportation_material,occupation_sales_office,occupation_services,management_business_sci_arts_employed,sales_office_employed,in_grades_1_to_4,in_grades_5_to_8,in_grades_9_to_12,in_school,in_undergrad_college,speak_only_english_at_home,speak_spanish_at_home,speak_spanish_at_home_low_english
05,2014-01-01,2990671,1152175,1468412,1522259,37.9,97632,100727,101296,61628,41456,23681,21953,59003,99732,94689,92867,90446,89915,95671,94127,35723,51462,31690,44633,56516,39873,24481,19211,92679,97057,96499,58425,39559,21003,20268,58498,100506,94492,95262,90009,92179,98715,101233,39087,55656,34795,49787,66603,48538,34362,37047,2173849,2953319,2877793,2800360,,2364108,1999307,1511771,,,,,,96818,458536,43441,219052,17342,4641,65933,219052,2771619,2273,1902,25216,24599,10842,6036,142905,144961,45726,25635,93423,74534,70617,73576,69556,65675,61375,60069,51743,95124,111457,124254,78338,44816,39928,37690,2903003,510337,0.4765,1362040,729,71700,123300,195900,1152175,395744,209865,36943,17258,949979,21511,41428,44298,48528,50457,18073,18630,167156,26116,51624,50052,1984,558867,387359,764816,151953,1048,1613,705943,198545,540,28.2,46101,77134,29749,22057,31582,40036,44708,47669,39581,17127,756431,2623,415474,302379,150380,216357,130353,74508,48331,4870,2644,86004,18400,15877,225047,215732,216440,175100,68064,138980,58959,62510,70461,1231293,22089,43457,29862,73619,382632,444206,178067,73651,26713885,4631,4322,1189092,133980,110,1055112,84212,139070,288720,557808,136060,115355,315304,276029,681223,288720,356810,162901,590434,19821,46478,27148,18551,36128,141826,76946,366898,1292263,75774,1372359,991749,1274750,4322,1368037,38038,102464,84382,316335,61733,20987,174680,61795,58404,171935,98813,71860,30837,431719,134572,224523,281867,219582,431719,281867,157702,154408,155634,737199,152073,2593351,149618,68863
02,2014-01-01,738516,253462,385579,352937,34,27605,26511,26200,15376,9785,6014,6587,20020,32871,29750,26104,22094,23403,25326,25948,9884,13164,7903,9285,10386,5747,3282,2334,26635,26117,23521,14173,8117,4456,4790,14882,28979,26919,23444,21037,21471,23144,24956,9574,11231,6552,9155,10085,5694,4092,3913,450754,728151,706278,684276,,571528,477727,399299,,,,,,24617,22817,45617,51186,103506,1459,54633,51186,687330,2851,2584,1828,1410,2411,1503,33412,36594,76715,35874,10230,7609,7962,8567,8830,8897,8630,9759,8172,18000,27311,36073,29553,20043,23692,20134,720674,77865,0.4237,315386,1231,176800,265200,367900,253462,91290,61924,6691,3251,198366,23031,17096,23586,14424,8578,9864,5102,14855,2986,9002,5089,1984,125847,85829,167633,33390,311,551,186138,36842,1117,28.2,8249,17098,7214,5889,7919,9648,10975,11754,8192,4352,162172,663,104091,71490,56214,62365,42928,23382,16851,1981,714,19437,5895,4927,90145,67020,64605,48686,13727,23169,7628,16253,10663,341896,27575,16731,18150,23959,75768,96421,38616,18698,6426000,4981,4598,290566,43758,37,246808,27399,40052,88053,107913,35716,36794,93703,34760,133851,88053,115360,51592,169471,8530,15485,10649,2005,4382,30769,25905,97725,351152,28067,396353,175175,358627,17134,379219,16957,32505,24492,84410,12200,7766,12792,15317,42274,38382,28755,29209,6093,130498,42571,43591,72150,62342,130498,72150,40496,39324,40238,187142,35996,573373,24378,6432
10,2014-01-01,949495,357765,459570,489925,40.2,27813,27532,30043,17767,12533,6729,6234,18042,33137,30102,27662,25972,28892,31832,31908,12523,16403,11587,14791,19562,13733,7817,6956,27041,27634,28633,16963,12535,6891,6062,17064,32966,30153,28834,27770,31116,34613,36267,12946,19754,13216,17727,22783,16928,10547,11482,595623,939651,917896,894641,,769793,659979,492850,,,,,,45905,204665,36464,86315,2851,1804,21497,86315,863180,2159,1623,13339,10994,4540,2649,40154,44846,65627,33989,19901,12769,12490,15416,15365,16843,15105,14978,13875,27672,36996,50512,34311,22450,25568,23514,923678,109798,0.4546,428251,1110,168700,244700,351900,357765,103457,70486,7972,5081,251970,65736,6767,9508,15802,23515,7575,11748,35356,10360,16602,19668,1984,174333,119864,237901,44066,848,845,203426,58177,933,29.7,7676,23177,9186,5955,8968,11033,11400,13364,8266,4432,254308,1686,167225,99335,15466,62203,37878,24634,11867,1110,267,24325,5252,4939,45032,62199,69660,70184,29287,57695,26320,33725,29173,423275,9518,21633,11475,21698,119534,144052,50798,21683,10921295,11739,9067,396966,36601,319,360365,25051,51522,120794,187042,39834,62275,85352,67482,208557,120794,160628,86438,176708,8263,22168,14336,3591,8644,42137,22419,121558,450946,28501,482623,287170,444908,3176,479447,4582,42118,29997,111889,42969,6360,38131,19493,25452,54853,43984,22135,8983,179939,38827,52622,99715,79843,179939,99715,43776,47451,46140,230566,53398,778595,62657,22610
48,2014-01-01,27885195,9553046,13849775,14035420,34.4,1022326,1029753,1052203,615659,403141,217800,209558,604014,1055421,1024764,960504,924390,882591,857779,812347,295067,397084,233802,313318,388615,257255,163601,128783,976543,998398,1005211,592593,375799,198864,195571,572403,1014280,999832,955466,927222,895104,875566,846531,319394,434203,261133,349061,454786,320550,229762,237148,11807263,27505786,26704075,25886326,,21394120,17815359,14477545,,,,,,2998348,3269253,1292813,10921556,68452,42354,463123,10921556,16963639,87271,58839,207050,170640,612341,413295,813047,843070,59570,30143,609111,415778,431000,454863,460236,456584,419784,431876,372502,753148,942058,1168213,839610,552446,588275,657562,27264694,4213938,0.4806,10769900,998,91800,161700,269700,9553046,3635275,1216854,308747,95712,7019127,280670,203929,345940,515395,679352,388909,541370,777687,360718,549114,369347,1986,4812972,2923721,6629325,1207242,15208,18649,7292686,1862676,832,29.1,267606,769279,311325,229622,304453,396040,453429,456573,311585,135363,5917771,45332,3421912,2571839,1583948,2307153,1485150,764259,661017,40934,18940,822003,172424,155047,1459703,1634930,1918817,1765031,733364,1826083,819473,1015450,1065917,12238768,196708,604052,270007,512772,3159175,3845889,1434725,600485,322657055,184848,159344,11650999,1305195,9745,10345804,599745,1261050,3409836,3660917,1106617,1321019,2785910,2993432,4448881,3409836,4349173,1809633,5153577,220811,585711,348825,304418,281403,839921,663779,3244868,12985624,743006,13818331,7575789,12842820,89701,13728630,407019,1192224,1088705,2805186,862041,229841,1116997,673193,525017,1483375,1480493,741256,380277,4705124,1407656,1684798,2925929,2262117,4705124,2925929,1649067,1643962,1611567,7626437,1534309,16688818,7631379,3073590
16,2014-01-01,1687809,618331,845564,842245,36.1,57945,63203,64606,38489,23499,12376,11366,35578,56883,54666,55210,50499,49737,50218,50707,21045,29642,18846,25230,30975,21128,13172,10544,56219,60162,62390,36162,22483,11899,10927,31239,54597,54060,53223,50272,48399,50705,54800,20943,29859,19562,25567,33420,22757,15359,17241,1387654,1666752,1620960,1573645,,1298537,1089266,835465,,,,,,61275,10739,22809,209073,18775,1038,35373,209073,1478736,1207,1100,813,395,10913,6387,84344,90966,53089,26772,38492,29568,29865,33635,31268,34988,32391,31324,28244,54943,70028,76641,51057,28311,25253,22323,1656621,228882,0.4499,711731,825,129700,192300,291000,618331,190031,93400,10911,7621,520741,21323,16213,31864,19918,15085,11969,14032,59316,18754,23860,28592,1986,335422,199643,418688,70443,730,899,439176,75060,690,28.4,18048,37344,16219,11818,14395,19709,22762,24860,17155,7721,428300,2426,277498,195420,86927,133543,101229,49332,47452,2649,1796,32314,9524,8676,148076,127639,125622,99510,39941,73855,30067,33000,33692,711402,19434,46006,11829,24389,175861,238714,115085,64282,14756120,5418,5201,670856,75430,64,595426,30030,104333,198648,242641,93908,65700,193205,102691,301860,198648,229361,94621,391446,19401,34064,19711,7875,12063,58047,50188,201349,768701,37672,810430,488107,757408,4057,806373,40219,69526,55969,172636,39488,13725,75266,35268,37929,92150,78529,37678,20318,266331,92272,103287,170836,135975,266331,170836,97287,100046,99213,449479,91226,1404451,126615,48801
12,2014-01-01,20598139,7621760,10071925,10526214,41.9,570515,579011,599823,369269,248252,139126,132153,385932,699552,650704,617492,618774,653838,695182,666945,258102,355805,234111,339287,468884,353420,231596,204152,546905,552728,577156,353145,230440,132337,128463,366157,674394,641298,629548,627945,672627,727190,732485,286049,414421,273603,388966,542743,403820,292005,331789,11196857,20386265,19937702,19480719,,16932309,14686727,10622351,,,,,,1897939,3167011,548642,5184720,41776,68744,379619,5184720,15413419,36337,28318,197429,167731,357420,238573,746077,835146,53267,30197,520876,360160,389340,410675,410787,402990,382842,377521,331613,630925,770510,907315,592612,356367,368189,409038,20178544,2983851,0.4868,9348689,1128,112000,196800,319700,7621760,2667159,1726929,249404,119137,5074199,577355,202758,368118,471742,543993,533971,727247,837333,182026,230396,192250,1986,3560518,2703919,4917841,1122809,17272,13972,4148552,1202790,960,33.5,186924,716585,265994,185287,238215,287013,304935,264126,154370,63710,4954601,57218,2835760,2281752,703545,1282636,764457,446169,277348,26339,14601,518179,120385,109129,765910,1010012,1286170,1369532,583736,1446327,657201,699617,787369,8605874,129987,534519,259220,493915,3063582,2921330,851072,291861,235880515,176146,157889,8096487,841097,9586,7255390,431638,1438630,2721635,3616947,941022,1081844,2022451,1769489,4231678,2721635,3156987,1561822,4402103,235064,472987,279433,116977,206638,801886,516887,2629872,9253932,622978,9931799,7000510,9140393,54889,9876910,94058,1132844,677886,1945214,715483,171201,470883,491801,397251,1194414,1211027,502921,248949,3247478,859156,965683,2316975,1864640,3247478,2316975,921825,936300,986453,4737877,1126230,13810811,4199678,1796684
49,2014-01-01,3045350,957619,1532768,1512582,30.7,129503,133298,133551,75775,45260,22094,26760,81064,117104,111862,112895,96042,81757,75563,73856,28600,39689,23124,29952,37894,25777,16723,14625,123362,128131,123860,71569,44672,22595,26643,75148,112311,108535,108431,93095,79317,75897,75493,29752,41597,24589,32648,42337,30080,22096,20424,2394238,2997126,2895113,2792485,,2224253,1782065,1461796,,,,,,157442,33713,68747,422123,28047,4802,67073,422123,2623227,3755,2974,2047,1572,21147,11972,125932,122284,68374,28239,40085,29541,30491,34642,38599,38728,40549,42498,38587,80778,112915,145363,104396,64513,61120,54814,2997963,309904,0.4264,1066131,988,178800,256700,371300,957619,288634,108512,17443,8526,730355,66287,31105,46264,36892,46230,35396,35971,36942,33546,49009,37818,1987,587505,240735,716884,74474,1145,1330,919049,118810,862,27.9,17524,54751,23605,18437,25378,31707,39781,40753,26332,10366,668985,5518,472593,359195,128839,296973,244786,112724,124803,5048,2211,52187,13818,12842,226698,220832,241443,213526,88198,151140,69290,63497,70554,1345178,36297,88266,23532,39488,234898,396471,184745,102017,29166300,35349,21345,1248877,159902,3203,1088975,46677,173766,391237,355712,141143,144145,323812,143360,407324,391237,491275,201423,638721,25052,61726,44014,9421,17230,65796,76226,299465,1452040,58958,1514938,709315,1433444,3940,1510998,25511,131704,100817,319403,98780,32224,153394,64425,68978,169916,179861,70020,37007,553507,127485,194831,354315,221902,553507,354315,208192,202381,200830,972456,214608,2367992,288392,98184
37,2014-01-01,10155624,3918597,4944759,5210865,38.6,308599,323060,337551,201335,143919,79011,76073,208855,344310,318284,310634,323661,335652,335438,323640,122190,167443,106784,146604,181219,120326,73844,56327,294594,312286,321145,194046,136995,68980,67299,200102,347356,329535,328935,336015,350558,354986,353337,135186,193616,121442,166596,219244,154668,109841,114103,6433039,10041403,9797524,9552431,,8124899,6881774,5310776,,,,,,494357,2146254,280059,935950,111360,22615,220670,935950,9219674,17539,10287,133907,121345,50398,24007,456087,446043,52413,29456,266502,212515,207195,210335,210982,209328,193292,196956,167230,320322,387786,471985,303156,185224,183853,191936,9881292,1523949,0.4769,4573066,877,100500,165900,272100,3918597,1369892,654469,103950,49548,2976686,187331,94876,126105,196249,192765,116356,84381,595468,95165,167882,162889,1987,1886087,1345071,2573526,532211,5417,7019,2292616,620779,687,29.3,120719,292754,113876,82850,114410,144247,164856,166079,120685,49416,2548705,16390,1617213,1064276,415147,697120,436539,254765,163241,14001,4532,260581,58411,52068,548268,642470,756018,690641,314595,584890,289696,267200,313561,4407339,85152,253038,102875,231826,1250117,1503324,638566,294764,107805790,47381,42455,4215826,434180,2523,3781646,272714,652658,1345846,1482960,434625,543580,1045166,869866,1780253,1345846,1705258,753360,2132449,108638,234970,132986,57283,116594,368996,264896,1284363,4665822,312610,5071505,3053394,4660377,93073,4978432,59871,447280,316244,1072526,300877,82050,579014,230632,200813,547719,499332,211453,118011,1746690,429622,681065,1004157,804288,1746690,1004157,509131,517657,534745,2520207,574993,8446044,716899,309235
45,2014-01-01,4955925,1894711,2405726,2550199,39.2,147614,157158,158505,95185,70760,38450,38070,97990,167118,153268,145983,148438,151865,160572,156799,62383,87687,55157,81342,100618,64710,37848,28206,142476,150252,153768,91293,66402,32596,33800,96604,171078,157998,156178,152677,161955,173441,177514,71357,99608,64851,91210,117489,77941,53344,56367,3156973,4899989,4785493,4665835,,3985183,3385002,2555919,,,,,,141515,1328352,74278,275685,14187,8584,95054,275685,4680240,4768,2930,77134,75008,14754,8233,211775,217150,51015,27986,145418,104615,100493,105989,105418,102763,91395,91331,82675,154561,194100,229417,144972,83699,81237,76628,4814032,770632,0.4727,2256951,868,86400,154800,254400,1894711,589362,362240,62084,24487,1417409,69711,46318,63800,97149,77871,57240,54590,371197,57112,85021,67247,1987,892969,644916,1249795,257047,2242,2697,1096251,342536,660,29.9,66229,128852,48195,35625,47860,58246,68202,68532,46998,20623,1305349,9199,762745,596275,103492,332200,196183,118374,70261,5518,2030,136017,24673,21653,256733,297460,357244,336888,143652,307194,138192,126722,159029,2123114,46140,91900,50583,122421,625972,729902,289734,126682,52214115,11816,10457,2033156,208135,601,1825021,136797,324446,588965,847337,202163,250813,496341,435770,998459,588965,717855,338858,1022950,53248,104914,53886,23641,60385,202738,120494,619306,2227307,153242,2411983,1573200,2215014,31434,2380549,22027,226069,148072,482201,128363,38602,304868,113156,100811,270014,226031,110259,56834,758815,204307,354549,510970,398666,758815,510970,247702,248022,251945,1195464,262715,4338414,209312,89943
13,2014-01-01,10297484,3709488,5012229,5285255,36.5,335188,357301,363608,218482,148729,80033,74218,213036,362366,338616,334236,330002,343056,340861,314971,118196,152215,92412,129611,159804,101876,59748,43664,320622,339831,354535,211728,142267,72963,70935,207461,365322,353480,356064,352249,361891,361447,341093,129881,178312,108999,150647,193751,132646,89416,89715,5476441,10171713,9914905,9641674,,8082220,6786547,5434258,,,,,,591482,3195363,399223,968463,18416,30394,204114,968463,9329021,27442,18254,196492,160096,55853,27633,396323,373036,55679,29523,269435,178646,181252,186094,184985,181841,167952,173008,155100,291450,367877,453876,307352,193627,201822,215171,10024689,1607714,0.4821,4241003,968,98400,166800,277500,3709488,1369507,531515,104455,48158,2816301,161927,92367,125579,200605,198376,112651,146382,383449,77777,112610,116536,1988,1768511,1207720,2501768,522210,6553,7382,2501295,740235,765,29.9,110936,308300,120326,84962,113341,140841,160707,167496,114752,47846,2339981,15766,1533925,1214677,292058,754832,460017,263675,176345,13985,6012,294815,56622,50164,431071,558010,666047,632434,268468,632503,315863,475226,433254,4412876,69380,254502,140054,245063,1216488,1417835,568843,261259,125507580,99181,71421,4165302,456908,23545,3708394,260334,518144,1282947,1566284,379243,564866,1014998,903914,1890132,1282947,1739911,797169,1912385,86342,236967,146358,58269,114408,383251,243704,1269299,4721065,322854,5091132,2991088,4667378,47213,5043919,51567,444832,312382,983296,293047,112990,501425,230396,235897,552766,568320,302521,131626,1750896,426130,694052,1072605,777382,1750896,1072605,565884,574300,587442,2755788,580471,8301923,770037,333966
